id;name
1;VIAMO
2;FSU
3;MUSECO
4;SOIL HEALT
5;TLC
6;IFDC
7;AGRA
8;DARS
9;SEED CO
11;MERU AGRO
12;ZAMSEED
13;WORDVEG
14;ZARI
15;AFRISEED
16;SCCI
17;KASAMPA
18;SEED DEMO
19;FOF
20;FSU
21;CHICKEN
22;KAPIRIMPOSTI
23;NUTRI
24;AID;
25;TRUST
26;IRLI/V47
27;SEED
28;ZANSEED
29;LUNDAZI
30;LEGUMES
31;BEANS
32;COWPEA
33;BREED
34;PM
35;MONGO
36;RICE
37;SINDA
38;SOYABEM
39;PETANKE
40;MANZAGNKA
41;MUFULIRA
42;KAPIRI
43;CHONQUE
44;OUTGOWWER
45;SOYA
46;SCHEME
47;ADVISOR
48;MANSA
49;SOHEME
50;SOLUE
51;CHIPATA
52;KALETE
53;BREEZE
54;CRS
55;KASENENGLA
56;CROPFERT
57;FEEDS
58;FIANANCE
59;ATIPANGALI
60;FERT(FSN)
61;CHOMA
62;ADVIRM
63;FSG
64;CHILANA
65;RUFUNSA
66;SINERGY
67;KABWE
68;ZUIEBA
69;CHUBOMBO
70;KABURE
71;SLI
72;G/NVIS
73;SHOME
74;IRLI/V3
75;MNKUSHI
76;CHIRMNOM
77;TRIALS
78;NDOLA
79;GIAUIS